ticker,weight
AAMI,1.2078e-2
AAP,9.1312e-2
AAT,2.0215e-2
ABCB,0.126424
ABG,0.233321
ABM,0.106402
ABR,5.7653e-2
ACA,7.0695e-2
ACAD,9.651e-3
ACHC,7.2948e-2
ACIW,4.5293e-2
ACLS,4.4042e-2
ACMR,2.5171e-2
ACT,3.2991e-2
ADAM,1.7097e-2
ADEA,6.0853e-2
ADMA,1.2155e-2
ADNT,0.140261
ADUS,2.7467e-2
AEIS,4.7383e-2
AEO,0.130566
AESI,1.7297e-2
AGO,0.118103
AGYS,7.96e-3
AHCO,4.6949e-2
AHH,1.5602e-2
AIN,3.9547e-2
AIR,4.4175e-2
AKR,3.5555e-2
AL,0.193838
ALG,3.5358e-2
ALGT,1.4249e-2
ALRM,2.5415e-2
AMPH,2.1901e-2
AMSF,1.1081e-2
AMTM,0.158926
AMWD,3.8336e-2
ANDE,0.144522
ANGI,1.2266e-2
ANIP,7.265e-3
AORT,5.583e-3
AOSL,1.346e-2
APAM,3.6173e-2
APLE,7.1137e-2
APOG,3.1647e-2
ARCB,9.7902e-2
ARLO,3.481e-3
AROC,4.2573e-2
ARR,3.3094e-2
ARWR,9.262e-3
ASO,0.158616
ASTE,2.0877e-2
ASTH,2.8833e-2
ATEN,8.829e-3
ATGE,5.7959e-2
AUB,0.150752
AVA,6.5304e-2
AVNS,1.6883e-2
AWI,5.3023e-2
AWR,2.6243e-2
AX,0.115489
AZTA,2.5681e-2
AZZ,3.7506e-2
BANC,5.5825e-2
BANF,4.0973e-2
BANR,6.7058e-2
BBT,5.8978e-2
BCC,0.15573
BCPC,3.4733e-2
BFH,0.144422
BFS,6.986e-3
BGC,2.9714e-2
BHE,3.971e-2
BKE,2.2919e-2
BKU,0.10865
BL,1.5407e-2
BLFS,3.92e-3
BLMN,5.6965e-2
BMG0692U1099,0.1884
BMG0750C1082,0.126134
BMG2717C1064,0.121929
BMG3198U1027,0.168159
BMG3922B1072,0.114316
BMG427061046,3.5157e-2
BMG491BT1088,0.221343
BMG524411052,1.686e-3
BMG611881019,0.126744
BMG611881274,0.116303
BMG6359F1370,3.825e-2
BMG667211046,0.113668
BMG7496G1033,0.340174
BMG762791017,2.5222e-2
BMG7997W1029,9.3652e-2
BMG9001E1021,1.1678e-2
BMG9001E1286,4.6221e-2
BMG9460G1015,7.8981e-2
BMG9618E1075,0.106594
BMI,2.2741e-2
BOH,5.6881e-2
BOOT,4.9786e-2
BOX,2.1136e-2
BSP736841136,1.6333e-2
BTSG,6.5349e-2
BTU,0.163354
CA03879J1003,1.762e-3
CA05156V1022,3.888e-3
CA45245E1097,9.839e-3
CA53626N1024,9.0332e-2
CA60255C8850,1.638e-3
CA6544846091,2.0666e-2
CA67000B1040,2.5891e-2
CA7142661031,6.647e-3
CA87261Y1060,2.055e-3
CA89621C1059,2.655e-3
CA98420N1050,5.479e-3
CABO,4.4089e-2
CAKE,5.4809e-2
CALM,0.10203
CARG,2.5686e-2
CARS,2.0562e-2
CASH,4.0342e-2
CATY,0.110075
CBRL,3.5718e-2
CBU,6.4491e-2
CC,0.112752
CCOI,1.6667e-2
CCS,8.8459e-2
CE,0.313271
CENX,3.1432e-2
CERT,1.3563e-2
CFFN,2.3298e-2
CH0027352993,5.199e-3
CH0048265513,0.128645
CH0334081137,1.7731e-2
CHCO,3.1633e-2
CHEF,3.2523e-2
CLB,1.0609e-2
CLSK,2.5181e-2
CNK,3.3472e-2
CNMD,2.8532e-2
CNR,0.163522
CNS,1.4292e-2
CNXN,1.9042e-2
COHU,1.8952e-2
COLL,1.8784e-2
CORT,9.95e-3
CPF,2.2856e-2
CPK,3.2545e-2
CPRX,2.2982e-2
CRC,9.4191e-2
CRGY,0.157343
CRK,2.938e-2
CRSR,7.374e-3
CRVL,9.987e-3
CSGS,2.6157e-2
CSR,1.496e-2
CSW,3.9751e-2
CTRE,5.3359e-2
CTS,1.8605e-2
CUBI,7.1334e-2
CURB,2.2411e-2
CVBF,7.5168e-2
CVCO,4.9924e-2
CVI,2.9798e-2
CWEN,5.3456e-2
CWST,4.6864e-2
CWT,3.1719e-2
CXM,8.457e-3
CXW,4.913e-2
CZR,0.221072
DAN,0.114164
DCOM,4.1325e-2
DEA,2.2941e-2
DEI,4.4795e-2
DFH,1.8593e-2
DFIN,2.2162e-2
DGII,1.7469e-2
DIOD,6.6171e-2
DLX,3.9861e-2
DNOW,4.9031e-2
DOCN,1.1463e-2
DORM,3.6428e-2
DRH,3.7206e-2
DV,2.1164e-2
DVAX,2.2432e-2
DXC,0.251045
DXPE,2.1181e-2
EAT,9.4818e-2
ECG,3.6807e-2
ECPG,3.0894e-2
EFC,1.9123e-2
EGBN,4.9305e-2
EIG,3.5212e-2
EMBC,2.5826e-2
EMN,0.262655
ENOV,4.2881e-2
ENPH,6.8892e-2
ENR,3.4719e-2
ENVA,6.0335e-2
EPAC,1.841e-2
EPC,4.2792e-2
EPRT,6.55e-2
ESE,2.9323e-2
ESI,7.0124e-2
ETD,1.8866e-2
ETSY,4.4888e-2
EVTC,2.9832e-2
EXPI,1.9016e-2
EXTR,1.1496e-2
EYE,2.9305e-2
FBK,4.6778e-2
FBP,0.135629
FBRT,2.2395e-2
FCF,5.5398e-2
FCPT,2.8698e-2
FDP,5.3859e-2
FELE,4.6583e-2
FFBC,9.3807e-2
FHB,9.9319e-2
FIBK,0.105658
FIZZ,9.671e-3
FMC,0.198927
FORM,2.7103e-2
FOXF,4.2573e-2
FR0013467479,0.111759
FRPT,2.0425e-2
FSS,4.8138e-2
FTDR,4.299e-2
FTRE,4.1572e-2
FULT,0.127449
FUN,4.1811e-2
FWRD,2.251e-2
GB00BDSFG982,0.153979
GB00BFMBMT84,0.148196
GB00BJT16S69,5.6557e-2
GB00BRXB0C07,4.526e-3
GB00BYMT0J19,3.7757e-2
GDEN,1.1879e-2
GDYN,7.222e-3
GEO,5.6565e-2
GES,2.631e-2
GFF,4.1431e-2
GG00BMGYLN96,9.4891e-2
GIII,5.7391e-2
GKOS,1.3828e-2
GNL,3.3954e-2
GNW,0.240804
GO,4.4728e-2
GOGO,5.946e-3
GOLF,2.7076e-2
GRBK,4.8505e-2
GSHD,3.796e-3
GTES,9.4752e-2
GTY,2.2151e-2
GVA,6.2172e-2
HAFC,2.757e-2
HAYW,4.157e-2
HCC,0.10169
HCI,1.6672e-2
HCSG,2.3398e-2
HE,9.2416e-2
HFWA,2.9363e-2
HI,5.8948e-2
HIW,5.1273e-2
HLIT,1.5863e-2
HLX,3.2088e-2
HMN,3.6653e-2
HNI,6.4062e-2
HOPE,7.128e-2
HP,0.108049
HSTM,7.721e-3
HTH,4.7201e-2
HTLD,1.8198e-2
HTO,3.3698e-2
HUBG,0.102308
HWKN,2.2936e-2
HZO,3.8935e-2
IAC,8.6197e-2
IART,3.8562e-2
IBP,5.0944e-2
ICHR,2.0521e-2
ICUI,4.6092e-2
IDCC,4.1844e-2
IE000JMT8VI3,2.787e-3
IE00B4Q5ZN47,0.151086
IE00B56GVS15,4.8097e-2
IE00BDGMC594,2.11e-3
IE00BDVJJQ56,0.108838
IE00BKYC3F77,2.0792e-2
IE00BLNN3691,0.130911
IIIN,1.5499e-2
IIPR,4.1211e-2
IL0011684185,8.181e-3
IL0011754137,1.2355e-2
IL0011858912,6.133e-3
INDB,0.137811
INDV,2.783e-2
INN,1.82e-2
INSP,1.1257e-2
INSW,6.0239e-2
INVA,1.7373e-2
INVX,1.4436e-2
IOSP,4.2133e-2
IPAR,2.0175e-2
IRDM,2.6649e-2
ITGR,5.0789e-2
ITRI,4.4623e-2
JBGS,2.602e-2
JBLU,2.8623e-2
JBTM,7.0816e-2
JE00BJJN4441,3.7171e-2
JE00BYPZJM29,0.100311
JE00BYSS4X48,8.651e-3
JOE,1.3479e-2
KAI,3.3693e-2
KFY,7.1849e-2
KGS,3.6139e-2
KMT,4.637e-2
KMX,0.383433
KN,1.7627e-2
KNTK,3.1702e-2
KOP,2.9135e-2
KREF,1.6256e-2
KRYS,1.0843e-2
KTB,4.2899e-2
KW,1.0117e-2
KWR,3.5579e-2
KY61559X1045,3.098e-3
KYG008941083,2.455e-3
KYG037AX1015,5.427e-3
KYG1144A1058,6.49e-3
KYG3323L1005,7.8165e-2
KYG3730V1059,4.8666e-2
KYG386441037,1.6503e-2
KYG4412G1010,0.107493
KYG651631007,2.576e-3
KYG961151035,3.031e-3
LBRT,0.140901
LCII,8.4156e-2
LEG,5.1661e-2
LGIH,5.0664e-2
