ticker,weight
AAMI,9.0e-2
AAP,0.15
AAT,6.0e-2
ABCB,0.32
ABG,0.31
ABM,0.18
ABR,9.999999999999999e-2
ACA,0.35
ACAD,0.22
ACHC,9.0e-2
ACIW,0.31
ACLS,0.18
ACMR,0.16
ACT,8.0e-2
ADAM,4.0e-2
ADEA,0.13
ADMA,0.28
ADNT,0.1
ADUS,0.13
AEIS,0.57
AEO,0.28
AESI,5.0e-2
AGO,0.26
AGYS,0.19
AHCO,7.0e-2
AHH,4.0e-2
AIN,0.1
AIR,0.23
AKR,0.18
AL,0.44
ALEX,0.1
ALG,0.13
ALGT,8.0e-2
ALKS,0.31
ALRM,0.17
AMN,4.0e-2
AMPH,6.0e-2
AMR,0.14
AMSF,5.0e-2
AMTM,0.32
AMWD,5.0e-2
ANDE,0.12
ANGI,3.0e-2
ANIP,9.0e-2
AORT,0.12
AOSL,4.0e-2
APAM,0.2
APLE,0.17
APOG,5.0e-2
ARCB,0.12
ARI,8.0e-2
ARLO,0.1
AROC,0.31
ARR,0.13
ARWR,0.58
ASO,0.24
ASTE,7.0e-2
ASTH,8.0e-2
ATEN,8.0e-2
ATGE,0.26
AUB,0.34
AVA,0.21
AVNS,4.0e-2
AWI,0.57
AWR,0.18
AX,0.33
AXL,5.0e-2
AZTA,0.1
AZZ,0.22
BANC,0.18
BANF,0.15
BANR,0.14
BBT,0.15
BCC,0.18
BCPC,0.33
BFH,0.22999999999999998
BFS,3.0e-2
BGC,0.22
BHE,0.1
BJRI,6.0e-2
BKE,0.11
BKU,0.22
BL,0.18
BLFS,7.0e-2
BLMN,3.0e-2
BMI,0.34
BOH,0.18
BOOT,0.39
BOX,0.27
BRC,0.23
BTSG,0.29
BTU,0.25
BXMT,0.2
CABO,3.0e-2
CAKE,0.17
CALM,0.24
CALX,0.22
CARG,0.2
CARS,5.0e-2
CASH,0.11
CATY,0.22
CBRL,4.0e-2
CBU,0.2
CC,0.13
CCOI,6.0e-2
CCS,0.1
CE,0.31
CENT,2.0e-2
CENTA,0.1
CENX,0.15
CERT,7.0e-2
CFFN,5.0e-2
CHCO,0.12
CHEF,0.15
CLB,6.0e-2
CLSK,0.23
CNK,0.16
CNMD,9.0e-2
CNR,0.3
CNS,0.12
CNXN,4.0e-2
COHU,8.0e-2
COLL,0.1
CON,0.15
CORT,0.22
CPF,6.0e-2
CPK,0.19
CPRX,0.17
CRC,0.24
CRGY,0.13
CRI,8.0e-2
CRK,0.12
CRSR,2.0e-2
CRVL,0.14
CSGS,0.14
CSR,7.0e-2
CSW,0.34
CTKB,4.0e-2
CTRE,0.53
CTS,9.0e-2
CUBI,0.16
CURB,0.15
CVBF,0.16
CVCO,0.31
CVI,5.0e-2
CWEN,0.19
CWENA,7.0e-2
CWK,0.18
CWST,0.41
CWT,0.17
CXM,6.0e-2
CXW,0.14
CZR,0.32
DAN,0.19
DCOM,8.0e-2
DEA,6.0e-2
DEI,0.12000000000000001
DFH,3.0e-2
DFIN,8.0e-2
DGII,0.11
DIOD,0.16
DLX,6.0e-2
DNOW,0.17
DOCN,0.23
DORM,0.23
DRH,0.12
DV,0.1
DVAX,0.1
DXC,0.16
DXPE,9.0e-2
EAT,0.44
ECG,0.31
ECPG,8.0e-2
EFC,0.1
EGBN,4.0e-2
EIG,6.0e-2
ELME,0.1
EMBC,5.0e-2
EMN,0.49
ENOV,0.1
ENPH,0.29
ENR,8.0e-2
ENVA,0.27
EPAC,0.14
EPC,5.0e-2
EPRT,0.39
ESE,0.34
ESI,0.4
ETD,4.0e-2
ETSY,0.38
EVTC,0.13
EXPI,6.0e-2
EXTR,0.14
EYE,0.14
EZPW,8.0e-2
FBK,0.15
FBNC,0.14
FBP,0.22
FBRT,5.0e-2
FCF,0.12
FCPT,0.16
FDP,8.0e-2
FELE,0.25
FFBC,0.18
FHB,0.21
FIBK,0.21
FIZZ,5.0e-2
FMC,0.12
FORM,0.32
FOXF,5.0e-2
FRPT,0.19
FSS,0.46
FTDR,0.28
FTRE,0.1
FUL,0.21
FULT,0.23
FUN,0.1
FWRD,4.0e-2
GBX,0.1
GDEN,4.0e-2
GDYN,4.0e-2
GEO,0.15
GES,3.0e-2
GFF,0.19
GIII,7.0e-2
GKOS,0.43
GNL,0.12
GNW,0.24
GO,6.0e-2
GOGO,3.0e-2
GOLF,0.15
GPI,0.32
GRBK,0.13
GSHD,0.12
GSISW,1.0e-2
GTES,0.38
GTY,0.1
GVA,0.35
HAFC,5.0e-2
HASI,0.26
HAYW,0.21
HCC,0.31
HCI,0.13
HCSG,8.0e-2
HE,0.14
HFWA,5.0e-2
HI,0.15
HIW,0.19
HLIT,7.0e-2
HLX,6.0e-2
HMN,0.12
HNI,0.19
HOPE,0.1
HP,0.2
HRMY,0.1
HSTM,4.0e-2
HTH,0.1
HTLD,3.0e-2
HTO,0.11
HTZ,4.0e-2
HUBG,0.18
HWKN,0.21
HZO,3.0e-2
IAC,0.17
IART,6.0e-2
IBP,0.41
ICHR,5.0e-2
ICUI,0.23
IDCC,0.57
IIIN,4.0e-2
IIPR,9.0e-2
INDB,0.24
INDV,0.3
INN,3.0e-2
INSP,0.17
INSW,0.13
INVA,9.0e-2
INVX,6.0e-2
IOSP,0.13
IPAR,0.1
IRDM,0.13
ITGR,0.18
ITRI,0.29
JBGS,7.0e-2
JBLU,9.0e-2
JBSS,4.0e-2
JBTM,0.52
JJSF,9.0e-2
JOE,0.16
JXN,0.49
KAI,0.23
KALU,0.13
KFY,0.23
KGS,0.2
KLIC,0.18
KMT,0.15
KMX,0.39
KN,0.13
KNTK,0.11
KOP,4.0e-2
KREF,3.0e-2
KRYS,0.42
KSS,0.16
KTB,0.21
KW,8.0e-2
KWR,0.13
LBRT,0.2
LCII,0.2
LEG,0.1
LGIH,6.0e-2
LGND,0.25
LKFN,0.1
LKQ,0.52
LMAT,0.11
LNC,0.52
LNN,9.0e-2
LPG,6.0e-2
LQDT,5.0e-2
LRN,0.19
LTC,0.11
LUMN,0.47000000000000003
LXP,0.19
LZB,0.1
MAC,0.32
MAN,9.0e-2
MARA,0.26
MATW,5.0e-2
MATX,0.26
MBC,9.0e-2
MC,0.35
MCRI,8.0e-2
MCW,4.0e-2
MCY,0.16
MD,0.12
MDU,0.27
MGEE,0.19
MGY,0.26
MHK,0.38
MHO,0.22
MIR,0.4
MKTX,0.44999999999999996
MLKN,8.0e-2
MMI,4.0e-2
MMSI,0.35
MNRO,4.0e-2
MODG,0.12
MOGA,0.47
MPW,0.17
MRCY,0.28
MRP,0.3
MRTN,5.0e-2
MSEX,6.0e-2
MSGS,0.3
MTH,0.31
MTRN,0.18
MTUS,4.0e-2
MTX,0.13
MWA,0.25
MXL,0.1
MYGN,4.0e-2
MYRG,0.24
NABL,4.0e-2
NATL,0.18
NAVI,6.0e-2
NBHC,0.1
NBTB,0.15
NE,0.24
NEO,0.1
NEOG,0.1
NGVT,0.14
NHC,0.11
NMIH,0.21
NOG,0.13
NPK,4.0e-2
NPO,0.31
NSIT,0.18
NSP,0.1
NTCT,0.12
NVRI,0.1
NWBI,0.12
NWL,0.1
NWN,0.13
NX,5.0e-2
NXRT,4.0e-2
OFG,0.12
OGN,0.13
OI,0.15
OII,0.17
OMCL,0.14
OPLN,0.21
OSIS,0.29
OTTR,0.22
OUT,0.23
OXM,3.0e-2
PAHC,5.0e-2
PARR,0.12000000000000001
PATK,0.24
PAYO,0.1
PBH,0.2
PBI,0.1
PCRX,7.0e-2
PDFS,7.0e-2
PEB,9.0e-2
PECO,0.29
PENG,7.0e-2
PENN,0.13
PFBC,6.999999999999999e-2
PFS,0.17
PGNY,0.14
PHIN,0.17
PI,0.31
PIPR,0.4
PJT,0.29
PLAB,0.13
PLAY,3.0e-2
PLMR,0.24
PLUS,0.15
PLXS,0.27
PMT,7.0e-2
POWI,0.14
POWL,0.22
PRA,8.0e-2
PRAA,5.0e-2
PRDO,0.12
PRG,8.0e-2
PRGO,0.13
PRGS,0.12
PRIM,0.47
PRK,0.15
PRKS,6.0e-2
PRLB,8.0e-2
PRSU,5.0e-2
PRVA,0.18
PSMT,0.21
PTCT,0.41
PTEN,0.15
PTGX,0.33
PZZA,9.0e-2
QDEL,0.13
QNST,5.0e-2
QRVO,0.48
QTWO,0.29
RAL,0.38
RAMP,0.12
RBCFT,2.0e-2
RCUS,0.12
RDN,0.32
RDNT,0.33999999999999997
RES,3.0e-2
REX,6.0e-2
REYN,8.0e-2
REZI,0.33
RHI,0.18
RHP,0.39
RNST,0.23
ROCK,0.1
ROG,0.1
RRR,0.2
RTYH6,0.29
RUN,0.28
RUSHA,0.22
RWT,5.0e-2
RXO,0.14
SABR,4.0e-2
SAFE,4.0e-2
SAFT,7.0e-2
SAH,6.0e-2
SANM,0.55
SBCF,0.21
SBH,0.1
SBSI,6.0e-2
SCHL,5.0e-2
SCL,7.0e-2
SCSC,5.0e-2
SDGR,7.0e-2
SEDG,0.12
SEE,0.4
SEM,0.11
SEZL,8.0e-2
SFBS,0.24
SFNC,0.18
SHAK,0.22
SHEN,4.0e-2
SHO,0.12
SHOO,0.21
SIG,0.24
SITM,0.48
SKT,0.25
SKY,0.31
SKYW,0.27
SLG,0.22
SLVM,0.11
SM,0.14
SMP,5.0e-2
SMPL,0.11
SMTC,0.43
SNCY,5.0e-2
SNDR,9.0e-2
SNEX,0.31
SOLS,0.52
SONO,0.14
SPNT,0.15
SPSC,0.23
SRPT,0.15
SSTK,3.0e-2
STAA,8.0e-2
STBA,0.1
STC,0.13
STEL,0.1
STEP,0.33
STRA,0.13
SUPN,0.19
SXC,4.0e-2
SXI,0.19
SXT,0.27
TALO,9.0e-2
TBBK,0.2
TDC,0.19
TDS,0.26
TDW,0.16
TFIN,0.1
TFX,0.36
TGNA,0.21
TGTX,0.27
THRM,8.0e-2
THS,7.0e-2
TILE,0.11
TMDX,0.28
TMP,6.0e-2
TNC,9.0e-2
TNDM,0.1
TPH,0.18
TR,5.0e-2
TRIP,0.11
TRMK,0.16
TRN,0.14
TRNO,0.4
TRST,5.0e-2
TRUP,8.0e-2
TTMI,0.46
TWI,3.0e-2
TWO,7.0e-2
UA,4.0e-2
UAA,7.0e-2
UCB,0.26
UCTT,9.0e-2
UE,0.16
UFCS,5.0e-2
UFPT,0.12
UHT,3.0e-2
UNF,0.19
UNFI,0.13
UNIT,8.0e-2
UPBD,6.0e-2
UPWK,0.18
URBN,0.27
USD,0.12
USPH,8.0e-2
UTL,6.0e-2
UVV,9.0e-2
VAC,0.11
VCEL,0.12
VCTR,0.21
VCYT,0.23
VECO,0.12
VIAV,0.27
VICR,0.2
VIR,4.0e-2
VIRT,0.18
VITL,7.0e-2
VRE,8.0e-2
VRRM,0.24
VRTS,7.0e-2
VSAT,0.34
VSCO,0.29
VSH,0.13
VSNTV UW,0.37
VSTS,5.0e-2
VTOL,6.0e-2
VYX,9.0e-2
