iShares Core S&P Small-Cap ETF
Fund Holdings as of,"Jan 05, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"731,600,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Type,Sector,Asset Class,Market Value,Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,Notional Weight,Market Weight
"XTSLA","BLK CSH FND TREASURY SL AGENCY","STIF","Cash and/or Derivatives","Money Market","1,155,185,238.72","212,971,187.60","1,155,185,239.00","1.00","United States","-","USD","1.00","USD","-","0.24","1.28"
"ARWR","ARROWHEAD PHARMACEUTICALS INC","EQUITY","Health Care","Equity","524,127,031.72","524,127,031.72","8,204,869.00","63.88","United States","NASDAQ","USD","1.00","USD","-","0.58","0.58"
"AWI","ARMSTRONG WORLD INDUSTRIES INC","EQUITY","Industrials","Equity","514,442,415.00","514,442,415.00","2,559,415.00","201.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.57","0.57"
"IDCC","INTERDIGITAL INC","EQUITY","Information Technology","Equity","513,105,419.68","513,105,419.68","1,527,827.00","335.84","United States","NASDAQ","USD","1.00","USD","-","0.57","0.57"
"AEIS","ADVANCED ENERGY INDUSTRIES INC","EQUITY","Information Technology","Equity","509,927,576.95","509,927,576.95","2,239,963.00","227.65","United States","NASDAQ","USD","1.00","USD","-","0.57","0.57"
"SANM","SANMINA CORP","EQUITY","Information Technology","Equity","496,397,664.00","496,397,664.00","3,238,080.00","153.30","United States","NASDAQ","USD","1.00","USD","-","0.55","0.55"
"CTRE","CARETRUST REIT INC","EQUITY","Real Estate","Equity","477,987,159.78","477,987,159.78","13,251,654.00","36.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.53","0.53"
"LKQ","LKQ CORP","EQUITY","Consumer Discretionary","Equity","471,503,963.20","471,503,963.20","15,190,205.00","31.04","United States","NASDAQ","USD","1.00","USD","-","0.52","0.52"
"JBTM","JBT MAREL CORP","EQUITY","Industrials","Equity","471,481,501.13","471,481,501.13","3,084,199.00","152.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-","0.52","0.52"
"SOLS","SOLSTICE ADVANCED MATERIALS INC","EQUITY","Materials","Equity","464,668,572.02","464,668,572.02","9,419,594.00","49.33","United States","NASDAQ","USD","1.00","USD","-","0.52","0.52"
